Informazioni cronologiche,Titolo di studio,Quanto ti reputi esperto del gioco di carte?,Genere,Età,Affidabile,Prevedibile,Qualcuno su cui puoi contare,Coerente,Capace,Abile,Competente,Meticoloso,Etico,Rispettabile,Una persona di principi,Integro,Sincero,Genuino,Schietto,Autentico,Quanto era mentalmente impegnativo il compito?,Quanto era frettoloso o affrettato il ritmo del compito?,Quanto pensi di avere avuto successo nel fare ciò che ti è stato chiesto di fare?,Quanto impegno hai dovuto impiegare per raggiungere il tuo livello di prestazione?,"Quanto ti sentivi insicuro, scoraggiato, irritato, sotto stress e infastidito?"
16/07/2026 15.46.33,Master/Dottorato,5,Maschio,,2,5,1,5,7,5,5,5,6,6,4,5,4,4,7,5,2,7,10,3,1
03/09/2026 10.18.41,Diploma di scuola superiore,1,Femmina,21,7,4,2,6,4,6,5,2,6,6,2,5,3,5,7,5,4,4,7,4,3
03/09/2026 10.41.57,Diploma di scuola superiore,4,Maschio,24,4,5,5,5,3,4,3,2,5,4,4,6,2,2,4,3,7,5,6,4,6
03/09/2026 12.11.38,Laurea triennale,2,Maschio,22,3,2,2,4,4,3,3,1,6,7,3,6,4,2,5,3,3,5,6,4,1
03/09/2026 13.33.06,Laurea magistrale/specialistica,4,Maschio,24,4,7,2,6,3,3,3,3,6,7,6,7,7,6,5,7,2,2,10,2,10
03/09/2026 13.59.38,Diploma di scuola superiore,1,Femmina,25,3,6,2,6,4,3,4,4,4,5,2,5,2,5,5,4,3,1,10,5,1
03/09/2026 15.59.47,Laurea triennale,4,Maschio,23,3,6,1,4,4,3,4,2,4,0,0,2,2,2,4,2,3,2,5,1,1
03/09/2026 16.06.51,Laurea triennale,5,Maschio,24,7,3,3,5,6,6,6,5,5,5,5,6,1,2,2,4,5,9,7,7,1
03/09/2026 16.07.01,Diploma di scuola superiore,1,Maschio,25,3,6,3,6,3,3,7,5,5,5,0,5,3,4,6,3,3,2,7,5,1
03/09/2026 16.27.49,Laurea triennale,1,Femmina,24,0,4,1,2,0,1,1,1,5,3,2,1,1,1,1,1,1,1,10,2,3
03/09/2026 16.39.10,Laurea triennale,4,Maschio,25,6,1,4,4,6,7,4,6,7,7,7,7,7,7,5,7,4,5,10,4,2
03/09/2026 17.00.30,Laurea triennale,3,Maschio,26,3,6,2,4,3,2,2,2,0,3,0,2,0,0,3,0,2,1,7,4,1
